text,Title,Chapters
"  Chapter 1 Introduction: What Is the Matter Here? Pei Wang 1 and Ben Goertzel 2 1 Temple University, USA 2 Novamente LLC, USA pei.wang@temple.edu, ben@goertzel.org This chapter provides a general introduction to the volume, giving an overview of the AGI eld and the current need for exploration and clarication of its foundations, and briey summarizing the contents of the various chapters. 1.1 The Matter of Articial General Intelligence Articial General Intelligence (AGI), roughly speaking, refers to AI research and development in which intelligence is understood as a general-purpose capability, not restricted to any narrow collection of problems or domains, and including the ability to broadly generalize to fundamentally new areas [4]. The precise denition of AGI is part of the subject matter of the AGI eld, and different theoretical approaches to AGI may embody different slants on the very concept of AGI.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"In practical terms, though, the various researchers in the eld share a strong common intuition regarding the core concerns of AGI  and how it differs from the narrow AI that currently dominates the AI eld. In the earliest days of AI research, in the middle of the last century, the objective of the eld was to build thinking machines with capacity comparable to that of the human mind [2,6,9]. In the decades following the founding of the AI eld, various attempts arose to attack the problem of human-level articial general intelligence, such as the General Problem Solver [7] and the Fifth Generation Computer Systems [3]. These early attempts failed to reach their original goals, and in the view of most AI researchers, failed to make dramatic conceptual or practical progress toward their goals.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"Based on these experiences, 1      2 Theoretical Foundations of Articial General Intelligence the mainstream of the AI community became wary of overly ambitious research, and turned toward the study of domain-specic problems and individual cognitive functions. Some researchers view this shift as positive, arguing that it brought greater rigor to the AI eld  a typical comment being that it is now more common to build on existing theories than to propose brand new ones, to base claims on rigorous theorems or hard experimental evidence rather than on intuition, and to show relevance to real-world applications rather than toy examples. [8]. However, an alternate view would be that this greater focus on narrow problems and mathematical and experimental results has come at a great cost in terms of conceptual progress and practical achievement. The practical achievements of applied AI in the last decades should not be dismissed lightly, nor should be the progress made in various specialized AI algorithms.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"Yet, ultimately, the mounting corpus of AI theorems and experimental results about narrow domains and specic cognitive processes has not led to any kind of clear progress toward the initial goals of the AI eld. AI as a whole does not show much progress toward its original goal of general-purpose systems, since the eld has become highly fragmented, and it is not easy, if possible at all, to put the parts together to get a coherent system with general intelligence [1]. Outside the mainstream of AI, a small but nontrivial set of researchers has continued to pursue the perspective that intelligence should be treated as a whole. To distinguish their work from the bulk of AI work focused on highly specic problems or cognitive processes (sometimes referred to as Narrow AI), the phrase Articial General Intelligence (AGI) has sometimes been used. There have also been related terms such as Human-Level AI [5].",Theoretical Foundations of Artificial General Intelligence,chapter 1
"The term AGI is meant to stress the general-purpose nature of intelligence  meaning that intelligence is a capacity that can be applied to various (though not necessarily all possible) environments to solve problems (though not necessarily being absolutely correct or optimal). Most AGI researchers believe that general-purpose intelligent systems cannot be obtained by simply bundling special-purpose intelligent systems together, but have to be designed and developed differently [11]. Though AGI projects share many problems and techniques with conventional AI projects, they are conceived, carried out, and evaluated differently. In recent years, the AGI community has signicantly grown, and now has its regular conferences and publications.       Introduction 3 1.2 The Matter of Theoretical Foundation Like all elds of science and technology, AGI relies on a subtle interplay of theory and experiment.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"AGI has an engineering goal, the building of practical systems with a high level of general intelligence; and also a scientic goal, the rigorous understanding of the nature of general intelligence, and its relationship with an intelligent systems internal structures and processes, and the properties of its environment. This volume focuses on the theoretical aspect of AGI, though drawing connections between the theoretical and engineering aspects where this is useful to make the theory clearer. Even for those whose main interest is AGI engineering, AGI theory has multiple values: a good theory enables an engineer and empirical researcher to set objectives, to justify assumptions, to specify roadmaps and milestones, and to direct evaluation and comparison. Some AGI research is founded on theoretical notions in an immediate and transparent way. Other AGI research is centered on system-building, with theory taking a back burner to building things and making them work.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"But every AGI project, no matter how pragmatic and empirical in nature, is ultimately based on some ideas about what intelligence is and how to realize it in artifacts. And it is valuable, as part of the process of shaping and growing an AGI project, that these ideas be claried, justied, and organized into a coherent theory. Many times the theory associated with an AGI project is partially presented in a formal and symbolic form, to reduce the ambiguity and fuzziness in natural languages; but this is not necessarily the case, and purely verbal and conceptual theories may have value also. Some of the theories used in AGI research are inherited from other elds (such as mathematics, psychology, and computer science), and some others are specially invented for AGI. In cases where AGI theories are inherited from other elds, careful adaptations to the context of AGI are often required.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"At the current stage, there is no single widely accepted theory of AGI, which is why this book uses a plural foundations in its title. For any AGI project, the underlying (explicit or implicit) theoretical foundation plays a crucial role, since any limitation or error in the theory will eventually show up in the project, and it is rarely possible to correct a theoretical mistake by a technical remedy. Comparing and evaluating the various competing and complementary theoretical foundations existing in the eld is very important for AGI researchers, as well as for other interested individuals. The existing AGI literature contains many discussions of AGI theory; but these are often highly technical, and they are often wrapped up together with highly specic discussions of system architecture or engineering, or particular application problems.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"We felt it       4 Theoretical Foundations of Articial General Intelligence would be valuable  especially for readers who are not intimately familiar with the AGI eld  to supplement this existing literature with a book providing a broad and relatively accessible perspective on the theoretical foundations of AGI. Rather than writing a volume on our own, and hence inevitably enforcing our own individual perspectives on the eld, we decided to invite a group of respected AGI researchers to write about what they considered as among the most important theoretical issues of the eld, in a language that is comprehensible to readers possessing at least modest scientic background, but not necessarily expertise in the AGI eld. To our delight we received many valuable contributions, which are organized in the following chapters. These chapters cover a wide spectrum of theoretical issues in AGI research.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"In the following overview they are clustered into three groups: the nature of the AGI problem and the objective of AGI research, AGI design methodology and system architecture, and the crucial challenges facing AI research. 1.3 The Matter of Objective In the broadest sense, all works in AI and AGI aim at reproducing or exceeding the general intelligence displayed by the human mind in engineered systems. However, when describing this intelligence using more detailed and accurate words, different researchers effectively specify different objectives for their research [10]. Due to its stress on the general and holistic nature of intelligence, the AGI eld is much less fragmented than the mainstream of AI [1], with many overarching aims and recurring themes binding different AGI research programs together. But even so, substantial differences in various researchers concrete research objectives can still be recognized. The chapter by Nick Cassimatis provides a natural entry to the discussion.",Theoretical Foundations of Artificial General Intelligence,chapter 1
